INFO 2025-08-04 19:37:21,062 basehttp 3876 4100 "GET /static/debug_toolbar/js/redirect.js HTTP/1.1" 200 48
INFO 2025-08-04 19:37:32,724 basehttp 3876 45744 "GET /admin/auth/group/add/ HTTP/1.1" 200 34441
INFO 2025-08-04 19:37:32,783 basehttp 3876 46284 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2025-08-04 19:37:53,836 basehttp 3876 47280 "GET /admin/sites/site/ HTTP/1.1" 200 24677
INFO 2025-08-04 19:37:53,983 basehttp 3876 47280 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-08-04 19:37:54,005 basehttp 3876 47280 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
INFO 2025-08-04 19:37:58,435 basehttp 3876 47280 "GET /admin/sites/site/1/change/ HTTP/1.1" 200 24448
INFO 2025-08-04 19:37:58,575 basehttp 3876 47280 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-08-04 19:38:10,992 basehttp 3876 47116 "GET /admin/ HTTP/1.1" 200 23904
INFO 2025-08-04 19:38:11,046 basehttp 3876 47116 "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2025-08-04 19:38:11,058 basehttp 3876 47116 "GET /static/debug_toolbar/css/toolbar.css HTTP/1.1" 304 0
INFO 2025-08-04 19:38:11,063 basehttp 3876 7472 "GET /static/debug_toolbar/js/toolbar.js HTTP/1.1" 304 0
INFO 2025-08-04 19:38:11,068 basehttp 3876 7472 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2025-08-04 19:38:11,072 basehttp 3876 38180 "GET /static/debug_toolbar/css/print.css HTTP/1.1" 304 0
INFO 2025-08-04 19:38:11,073 basehttp 3876 45000 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
INFO 2025-08-04 19:38:11,091 basehttp 3876 38180 "GET /static/debug_toolbar/js/utils.js HTTP/1.1" 304 0
